InChI	CID	IUPAC_name	Molecular_formula	Molecular_weight	Isomeric_smiles	Canonical_smiles	abbrv	Name
IQFWYNFDWRYSRA-BLELIYKESA-N	49792010	(2S)-2-azaniumyl-4-[[(2S,3S,4R)-3,4,5-trihydroxyoxolan-2-yl]methylsulfanyl]butanoate	C9H17NO6S	267.30	C(CSC[C@@H]1[C@H]([C@H](C(O1)O)O)O)[C@@H](C(=O)[O-])[NH3+]	C(CSCC1C(C(C(O1)O)O)O)C(C(=O)[O-])[NH3+]	rhcys	S-Ribosyl-L-homocysteine
KABXUUFDPUOJMW-BYPYZUCNSA-N	49791979	(2S)-2-azaniumyl-5-oxopentanoate	C5H9NO3	131.13	C(C[C@@H](C(=O)[O-])[NH3+])C=O	C(CC(C(=O)[O-])[NH3+])C=O	glu5sa	L-Glutamate 5-semialdehyde
FFFHZYDWPBMWHY-UHFFFAOYSA-N	49791978	2-azaniumyl-4-sulfanylbutanoate	C4H9NO2S	135.19	C(CS)C(C(=O)[O-])[NH3+]	C(CS)C(C(=O)[O-])[NH3+]	hcys__L	L-Homocysteine
WPAMZTWLKIDIOP-NQXXGFSBSA-M	49791967	(4R,5R)-4,5,6-trihydroxy-2-oxohexanoate	C6H9O6-	177.13	C([C@H]([C@@H](CO)O)O)C(=O)C(=O)[O-]	C(C(C(CO)O)O)C(=O)C(=O)[O-]	2dh3dgal	2-Dehydro-3-deoxy-D-galactonate
CWNDERHTHMWBSI-YFKPBYRVSA-M	49791964	[(2S)-2-azaniumyl-3-(1H-imidazol-5-yl)propyl] phosphate	C6H11N3O4P-	220.14	C1=C(NC=N1)C[C@@H](COP(=O)([O-])[O-])[NH3+]	C1=C(NC=N1)CC(COP(=O)([O-])[O-])[NH3+]	hisp	L-Histidinol phosphate
DHCUIDTZCMREHG-UHFFFAOYSA-L	49791963	2-(carboxylatomethyl)-5-oxofuran-2-carboxylate	C7H4O6-2	184.10	C1=CC(OC1=O)(CC(=O)[O-])C(=O)[O-]	C1=CC(OC1=O)(CC(=O)[O-])C(=O)[O-]	4cml	4-Carboxymuconolactone
SRNWOUGRCWSEMX-TYASJMOZSA-L	49791958	[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(2R,3S,4R)-3,4,5-trihydroxyoxolan-2-yl]methyl phosphate	C15H21N5O14P2-2	557.30	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H](C(O4)O)O)O)O)O)N	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OCC4C(C(C(O4)O)O)O)O)O)N	adprib	ADPribose C15H21N5O14P2
JZNWSCPGTDBMEW-YFKPBYRVSA-N	49791955	2-azaniumylethyl [(2S)-2,3-dihydroxypropyl] phosphate	C5H14NO6P	215.14	C(COP(=O)([O-])OC[C@H](CO)O)[NH3+]	C(COP(=O)([O-])OCC(CO)O)[NH3+]	g3pe	Sn-Glycero-3-phosphoethanolamine
OLUPOJQIFXQXIT-CVYQJGLWSA-K	49791953	(3R,4S)-3,4-dihydroxy-5-oxo-6-phosphonatooxyhexanoate	C6H8O9P-3	255.10	C([C@H]([C@@H](C(=O)COP(=O)([O-])[O-])O)O)C(=O)[O-]	C(C(C(C(=O)COP(=O)([O-])[O-])O)O)C(=O)[O-]	d5kgp	2-Deoxy-5-keto-D-gluconic acid 6-phosphate
FCVIHFVSXHOPSW-YFKPBYRVSA-K	49791951	(2S)-2-acetamido-5-oxo-5-phosphonatooxypentanoate	C7H9NO8P-3	266.12	CC(=O)N[C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]	CC(=O)NC(CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]	acg5p	N-Acetyl-L-glutamyl 5-phosphate
RCWCGLALNCIQNM-VKHMYHEASA-N	49787004	(2S)-2-amino-4-selanylbutanoic acid	C4H9NO2Se	182.09	C(C[SeH])[C@@H](C(=O)O)N	C(C[SeH])C(C(=O)O)N	selhcys	Selenohomocysteine
YPZRHBJKEMOYQH-UYBVJOGSSA-L	46931118	[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxo-1,5-dihydrobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] phosphate	C27H33N9O15P2-2	785.5	CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O	CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)([O-])OP(=O)([O-])OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O	fadh2	Flavin adenine dinucleotide reduced
SXDXRJZUAJBNFL-XKSSXDPKSA-M	46931117	6,7-dimethyl-4-oxo-8-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]pteridin-2-olate	C13H17N4O6-	325.30	CC1=C(N(C2=NC(=NC(=O)C2=N1)[O-])C[C@@H]([C@@H]([C@@H](CO)O)O)O)C	CC1=C(N(C2=NC(=NC(=O)C2=N1)[O-])CC(C(C(CO)O)O)O)C	dmlz	6,7-Dimethyl-8-(1-D-ribityl)lumazine
WDFJYRZCZIUBPR-UHFFFAOYSA-F	46931104	3-[5-[[3-(2-carboxylatoethyl)-5-[[3-(2-carboxylatoethyl)-5-[[3-(2-carboxylatoethyl)-4-(carboxylatomethyl)-5-(hydroxymethyl)-1H-pyrrol-2-yl]methyl]-4-(carboxylatomethyl)-1H-pyrrol-2-yl]methyl]-4-(carboxylatomethyl)-1H-pyrrol-2-yl]methyl]-4-(carboxylatomethyl)-1H-pyrrol-3-yl]propanoate	C40H38N4O17-8	846.7	C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]	C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]	hmbil	Hydroxymethylbilane
NEDQLXHBVHSKNV-STQMWFEESA-P	46931099	(2S)-2-azaniumyl-5-[[(2R)-1-[[2-[3-(4-azaniumylbutylazaniumyl)propylamino]-2-oxoethyl]amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate	C17H36N6O5S+2	436.6	C(CC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@@H](C(=O)[O-])[NH3+])C[NH3+]	C(CC[NH2+]CCCNC(=O)CNC(=O)C(CS)NC(=O)CCC(C(=O)[O-])[NH3+])C[NH3+]	gtspmd	Glutathionylspermidine
IJOJIVNDFQSGAB-SQOUGZDYSA-L	46926335	[(2R,3S,4S,5R)-3,4,5-trihydroxy-6-oxooxan-2-yl]methyl phosphate	C6H9O9P-2	256.10	C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)([O-])[O-]	6pgl	6-phospho-D-glucono-1,5-lactone
WFOFKRKDDKGRIK-DMTCNVIQSA-M	46926300	(2S,4R)-4-hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylate	C5H6NO3-	128.11	C1[C@H](C=N[C@@H]1C(=O)[O-])O	C1C(C=NC1C(=O)[O-])O	1p3h5c	L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3
LFTYTUAZOPRMMI-LDDHHVEYSA-L	46926269	[(3R,4R,5R,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C17H25N3O17P2-2	605.3	CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	CC(=O)NC1C(C(C(OC1OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	udpacgal	UDP-N-acetyl-D-galactosamine
ZFXICKRXPZTFPB-FZHFFJAKSA-I	46926262	(Z)-6-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonatooxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-6-oxohex-4-enoate	C27H37N7O19P3S-5	888.6	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C\CCC(=O)[O-])O	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)C=CCCC(=O)[O-])O	23dhacoa	2,3-dehydroadipyl-CoA
ZQZCWPBSHHYCMM-BETJHJQZSA-J	46926226	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-[[[[(3R)-3-hydroxy-2,2-dimethyl-4-[[3-[2-[(2Z)-2-(3H-oxepin-2-ylidene)acetyl]sulfanylethylamino]-3-oxopropyl]amino]-4-oxobutoxy]-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]oxolan-3-yl] phosphate	C29H38N7O18P3S-4	897.6	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C\4/CC=CC=CO4)O	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)C=C4CC=CC=CO4)O	2oxpaccoa	2-oxepin-2(3H)-ylideneacetyl-CoA
KYKNQNQCPWDNAK-CBTAGEKQSA-L	46926222	[(2R,3S,4R,5R,6S)-5-acetamido-6-[(2R,3S,4R,5R)-5-acetamido-4,6-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4-dihydroxyoxan-2-yl]methyl phosphate	C16H27N2O14P-2	502.36	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)COP(=O)([O-])[O-])O)O	CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)COP(=O)([O-])[O-])O)O)NC(=O)C)O	chtbs6p	Diacetylchitobiose-6-phosphate
GACDQMDRPRGCTN-KQYNXXCUSA-J	46926099	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-[[oxido(sulfonatooxy)phosphoryl]oxymethyl]oxolan-3-yl] phosphate	C10H11N5O13P2S-4	503.24	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OS(=O)(=O)[O-])OP(=O)([O-])[O-])O)N	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OS(=O)(=O)[O-])OP(=O)([O-])[O-])O)N	paps	3'-Phosphoadenylyl sulfate
BOLXAGHGKNGVBE-MTXRGOKVSA-K	46906104	(2R)-3-hydroxy-2-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(phosphonatooxymethyl)oxan-2-yl]oxypropanoate	C9H14O12P-3	345.17	C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H](CO)C(=O)[O-])O)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(C(O1)OC(CO)C(=O)[O-])O)O)O)OP(=O)([O-])[O-]	man6pglyc	2(alpha-D-Mannosyl-6-phosphate)-D-glycerate
PECYZEOJVXMISF-REOHCLBHSA-N	46906042	(2S)-2-amino-3-azaniumylpropanoate	C3H8N2O2	104.11	C([C@@H](C(=O)[O-])N)[NH3+]	C(C(C(=O)[O-])N)[NH3+]	23dappa	2,3-diaminopropionate
ULXTYUPMJXVUHQ-OVTFQNCVSA-K	46878551	(2R)-2-[[(2S)-2-[[(2R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-3-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(hydroxymethyl)-6-[oxido-[oxido-[(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy]phosphoryl]oxyphosphoryl]oxyoxan-4-yl]oxypropanoyl]amino]propanoyl]amino]-5-[[(2S)-6-azaniumyl-1-[[(2R)-1-[[(1R)-1-carboxylatoethyl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoate	C94H153N8O26P2-3	1873.2	C[C@@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])C(=O)[O-])NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)CO)OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)NC(=O)C	CC(C(=O)NC(CCC(=O)NC(CCCC[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C	uaaGgla	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
AEUBLTTWYCDTGM-HXOXMVQHSA-M	46878521	(E)-3-[(5S,6R)-5,6-dihydroxycyclohexa-1,3-dien-1-yl]prop-2-enoate	C9H9O4-	181.16	C1=C[C@@H]([C@@H](C(=C1)/C=C/C(=O)[O-])O)O	C1=CC(C(C(=C1)C=CC(=O)[O-])O)O	cenchddd	Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol
SULOOAFLXMQJSF-OGDYFQGPSA-K	46878496	(2R)-2-[[(2S)-2-[[(2R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-3-hydroxy-2-(hydroxymethyl)-6-[oxido-[oxido-[(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy]phosphoryl]oxyphosphoryl]oxyoxan-4-yl]oxypropanoyl]amino]propanoyl]amino]-5-[[(2S)-6-azaniumyl-1-[[(2R)-1-[[(1R)-1-carboxylatoethyl]amino]-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoate	C86H140N7O21P2-3	1670.0	C[C@@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])C(=O)[O-])NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)NC(=O)C	CC(C(=O)NC(CCC(=O)NC(CCCC[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C	uaGgla	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
RRUVJGASJONMDY-UHFFFAOYSA-L	46878487	[2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-2-(1-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium-5-yl]ethoxy-oxidophosphoryl] phosphate	C14H20N4O8P2S-2	466.35	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)([O-])OP(=O)([O-])[O-]	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)([O-])OP(=O)([O-])[O-]	2ahethmpp	2-(alpha-Hydroxyethyl)thiamine diphosphate
NQEQTYPJSIEPHW-MNOVXSKESA-L	46878464	[(2R,3S)-2,3-dihydroxy-3-(1H-indol-3-yl)propyl] phosphate	C11H12NO6P-2	285.19	C1=CC=C2C(=C1)C(=CN2)[C@@H]([C@@H](COP(=O)([O-])[O-])O)O	C1=CC=C2C(=C1)C(=CN2)C(C(COP(=O)([O-])[O-])O)O	3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate
YNOXCRMFGMSKIJ-NFNCENRGSA-K	46878460	(2S,3S)-2-hydroxybutane-1,2,3-tricarboxylate	C7H7O7-3	203.13	C[C@H](C(=O)[O-])[C@@](CC(=O)[O-])(C(=O)[O-])O	CC(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	2mcit	2-Methylcitrate
OKHXOUGRECCASI-SHUUEZRQSA-J	46878435	[(2R,3R,4R,5S)-2,3,4,5-tetrahydroxy-6-oxo-7-phosphonatooxyheptyl] phosphate	C7H12O13P2-4	366.11	C([C@H]([C@H]([C@H]([C@@H](C(=O)COP(=O)([O-])[O-])O)O)O)O)OP(=O)([O-])[O-]	C(C(C(C(C(C(=O)COP(=O)([O-])[O-])O)O)O)O)OP(=O)([O-])[O-]	s17bp	Sedoheptulose 1,7-bisphosphate
HTJXTKBIUVFUAR-XHIBXCGHSA-J	46878430	[(2S,3R)-4-[[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxy-1,3-dihydroxy-2-methylbutan-2-yl] phosphate	C14H22N3O17P3-4	597.26	C[C@](CO)([C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)([O-])[O-]	CC(CO)(C(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)([O-])[O-]	2p4c2me	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
GNISQJGXJIDKDJ-YFKPBYRVSA-M	46878420	(2S)-2-azaniumyl-4-(3-carboxylatopropanoyloxy)butanoate	C8H12NO6-	218.18	C(COC(=O)CCC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]	C(COC(=O)CCC(=O)[O-])C(C(=O)[O-])[NH3+]	suchms	O-Succinyl-L-homoserine
LJQLQCAXBUHEAZ-UWTATZPHSA-J	46878409	[(2R)-2-hydroxy-3-oxo-3-phosphonatooxypropyl] phosphate	C3H4O10P2-4	262.01	C([C@H](C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]	C(C(C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]	13dpg	3-Phospho-D-glyceroyl phosphate
FXDNYOANAXWZHG-VKHMYHEASA-L	46878406	(2S)-2-azaniumyl-4-phosphonatooxybutanoate	C4H8NO6P-2	197.08	C(COP(=O)([O-])[O-])[C@@H](C(=O)[O-])[NH3+]	C(COP(=O)([O-])[O-])C(C(=O)[O-])[NH3+]	phom	O-Phospho-L-homoserine
OFBHPPMPBOJXRT-DPXQIYNJSA-J	46878398	2-[[9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonatooxymethyl)oxolan-2-yl]purin-6-yl]amino]butanedioate	C14H14N5O11P-4	459.26	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)NC(CC(=O)[O-])C(=O)[O-]	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O)NC(CC(=O)[O-])C(=O)[O-]	dcamp	N6-(1,2-Dicarboxyethyl)-AMP
DDXCFDOPXBPUJC-SAYMMRJXSA-M	46878394	(2R)-3-hydroxy-2-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropanoate	C9H15O9-	267.21	C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H](CO)C(=O)[O-])O)O)O)O	C(C1C(C(C(C(O1)OC(CO)C(=O)[O-])O)O)O)O	manglyc	2(alpha-D-Mannosyl)-D-glycerate
KYOBSHFOBAOFBF-XVFCMESISA-K	46878393	3-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonatooxymethyl)oxolan-2-yl]-2,6-dioxopyrimidine-4-carboxylate	C10H10N2O11P-3	365.17	C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]	C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]	orot5p	Orotidine 5'-phosphate
JOUIQRNQJGXQDC-ZYUZMQFOSA-L	46878382	1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonatooxymethyl)oxolan-2-yl]pyridin-1-ium-3-carboxylate	C11H12NO9P-2	333.19	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]	nicrnt	Nicotinate D-ribonucleotide
JDTUMPKOJBQPKX-GBNDHIKLSA-L	46878379	[(2R,3R,4R,5S)-2,3,4,5,7-pentahydroxy-6-oxoheptyl] phosphate	C7H13O10P-2	288.15	C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)([O-])[O-]	C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)([O-])[O-]	s7p	Sedoheptulose 7-phosphate
VDYDCVUWILIYQF-CSMHCCOUSA-M	46878377	(2S)-2-azaniumyl-5-[[(2R)-1-(carboxylatomethylamino)-3-[(2R)-2-hydroxypropanoyl]sulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoate	C13H20N3O8S-	378.38	C[C@H](C(=O)SC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+])O	CC(C(=O)SCC(C(=O)NCC(=O)[O-])NC(=O)CCC(C(=O)[O-])[NH3+])O	lgt__S	(R)-S-Lactoylglutathione
KDZOASGQNOPSCU-ZBHICJROSA-M	46878376	2-[[amino-[(4S)-4-azaniumyl-4-carboxylatobutyl]azaniumylidenemethyl]amino]butanedioate	C10H17N4O6-	289.27	C(C[C@@H](C(=O)[O-])[NH3+])C[NH+]=C(N)NC(CC(=O)[O-])C(=O)[O-]	C(CC(C(=O)[O-])[NH3+])C[NH+]=C(N)NC(CC(=O)[O-])C(=O)[O-]	argsuc	N(omega)-(L-Arginino)succinate
XYCATPIYKOARSZ-OAIFWDMCSA-K	46224561	(1R,2S,5S,6S)-5-(1-carboxylatoethenoxy)-2-(3-carboxylatopropanoyl)-6-hydroxycyclohex-3-ene-1-carboxylate	C14H13O9-3	325.25	C=C(C(=O)[O-])O[C@H]1C=C[C@@H]([C@H]([C@@H]1O)C(=O)[O-])C(=O)CCC(=O)[O-]	C=C(C(=O)[O-])OC1C=CC(C(C1O)C(=O)[O-])C(=O)CCC(=O)[O-]	2sephchc	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
YIEMFVNCENFBSD-XQRVVYSFSA-L	46224540	[(Z)-2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl] phosphate	C6H9O6PS-2	240.17	CSCCC(=O)/C(=C/OP(=O)([O-])[O-])/O	CSCCC(=O)C(=COP(=O)([O-])[O-])O	hkmpp	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
AEMOLEFTQBMNLQ-YMDCURPLSA-M	46173511	(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylate	C6H9O7-	193.13	[C@@H]1([C@H]([C@H](OC([C@@H]1O)O)C(=O)[O-])O)O	C1(C(C(OC(C1O)O)C(=O)[O-])O)O	galur	D-Galacturonate
WWEOGFZEFHPUAM-UQCJFRAESA-J	46173510	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-[[[[(3R)-3-hydroxy-4-[[3-[2-[(2S)-3-hydroxy-2-methylpropanoyl]sulfanylethylamino]-3-oxopropyl]amino]-2,2-dimethyl-4-oxobutoxy]-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]oxolan-3-yl] phosphate	C25H38N7O18P3S-4	849.6	C[C@@H](CO)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	hibcoa	 S  3 Hydroxyisobutyryl CoA C25H38N7O18P3S
